Plate,Well,Sample Name,Buffer Name,Control Name,ID
1,A1,Buffer,H6N30,Buffer,Buffer
1,A2,Buffer,H6N30,Buffer,Buffer
1,A3,Sample 1,H6N30,,Molecule ID 1
1,A4,Sample 1,H6N30,,Molecule ID 1
1,A5,Sample 9,H6N30,,Molecule ID 9
1,A6,Sample 9,H6N30,,Molecule ID 9
1,A7,Sample 17,H6N30,,Molecule ID 17
1,A8,Sample 17,H6N30,,Molecule ID 17
1,A9,Buffer,PBS,Buffer,Buffer
1,A10,Buffer,PBS,Buffer,Buffer
1,A11,Sample 1,PBS,,Molecule ID 1
1,A12,Sample 1,PBS,,Molecule ID 1
1,A13,Sample 9,PBS,,Molecule ID 9
1,A14,Sample 9,PBS,,Molecule ID 9
1,A15,Sample 17,PBS,,Molecule ID 17
1,A16,Sample 17,PBS,,Molecule ID 17
1,A17,,,,
1,A18,,,,
1,A19,,,,
1,A20,,,,
1,A21,,,,
1,A22,,,,
1,A23,,,,
1,A24,,,,
1,B1,Buffer,H6N30,Buffer,Buffer
1,B2,Buffer,H6N30,Buffer,Buffer
1,B3,Sample 1,H6N30,,Molecule ID 1
1,B4,Sample 1,H6N30,,Molecule ID 1
1,B5,Sample 9,H6N30,,Molecule ID 9
1,B6,Sample 9,H6N30,,Molecule ID 9
1,B7,Sample 17,H6N30,,Molecule ID 17
1,B8,Sample 17,H6N30,,Molecule ID 17
1,B9,Buffer,PBS,Buffer,Buffer
1,B10,Buffer,PBS,Buffer,Buffer
1,B11,Sample 1,PBS,,Molecule ID 1
1,B12,Sample 1,PBS,,Molecule ID 1
1,B13,Sample 9,PBS,,Molecule ID 9
1,B14,Sample 9,PBS,,Molecule ID 9
1,B15,Sample 17,PBS,,Molecule ID 17
1,B16,Sample 17,PBS,,Molecule ID 17
1,B17,,,,
1,B18,,,,
1,B19,,,,
1,B20,,,,
1,B21,,,,
1,B22,,,,
1,B23,,,,
1,B24,,,,
1,C1,Control 2,H6N30,Control_2,Control ID 2
1,C2,Control 2,H6N30,Control_2,Control ID 2
1,C3,Sample 2,H6N30,,Molecule ID 2
1,C4,Sample 2,H6N30,,Molecule ID 2
1,C5,Sample 10,H6N30,,Molecule ID 10
1,C6,Sample 10,H6N30,,Molecule ID 10
1,C7,Sample 18,H6N30,,Molecule ID 18
1,C8,Sample 18,H6N30,,Molecule ID 18
1,C9,Control 2,PBS,Control_2,Control ID 2
1,C10,Control 2,PBS,Control_2,Control ID 2
1,C11,Sample 2,PBS,,Molecule ID 2
1,C12,Sample 2,PBS,,Molecule ID 2
1,C13,Sample 10,PBS,,Molecule ID 10
1,C14,Sample 10,PBS,,Molecule ID 10
1,C15,Sample 18,PBS,,Molecule ID 18
1,C16,Sample 18,PBS,,Molecule ID 18
1,C17,,,,
1,C18,,,,
1,C19,,,,
1,C20,,,,
1,C21,,,,
1,C22,,,,
1,C23,,,,
1,C24,,,,
1,D1,Control 2,H6N30,Control_2,Control ID 2
1,D2,Control 2,H6N30,Control_2,Control ID 2
1,D3,Sample 2,H6N30,,Molecule ID 2
1,D4,Sample 2,H6N30,,Molecule ID 2
1,D5,Sample 10,H6N30,,Molecule ID 10
1,D6,Sample 10,H6N30,,Molecule ID 10
1,D7,Sample 18,H6N30,,Molecule ID 18
1,D8,Sample 18,H6N30,,Molecule ID 18
1,D9,Control 2,PBS,Control_2,Control ID 2
1,D10,Control 2,PBS,Control_2,Control ID 2
1,D11,Sample 2,PBS,,Molecule ID 2
1,D12,Sample 2,PBS,,Molecule ID 2
1,D13,Sample 10,PBS,,Molecule ID 10
1,D14,Sample 10,PBS,,Molecule ID 10
1,D15,Sample 18,PBS,,Molecule ID 18
1,D16,Sample 18,PBS,,Molecule ID 18
1,D17,,,,
1,D18,,,,
1,D19,,,,
1,D20,,,,
1,D21,,,,
1,D22,,,,
1,D23,,,,
1,D24,,,,
1,E1,Control 3,H6N30,Control_3,Control ID 3
1,E2,Control 3,H6N30,Control_3,Control ID 3
1,E3,Sample 3,H6N30,,Molecule ID 3
1,E4,Sample 3,H6N30,,Molecule ID 3
1,E5,Sample 11,H6N30,,Molecule ID 11
1,E6,Sample 11,H6N30,,Molecule ID 11
1,E7,Sample 19,H6N30,,Molecule ID 19
1,E8,Sample 19,H6N30,,Molecule ID 19
1,E9,Control 3,PBS,Control_3,Control ID 3
1,E10,Control 3,PBS,Control_3,Control ID 3
1,E11,Sample 3,PBS,,Molecule ID 3
1,E12,Sample 3,PBS,,Molecule ID 3
1,E13,Sample 11,PBS,,Molecule ID 11
1,E14,Sample 11,PBS,,Molecule ID 11
1,E15,Sample 19,PBS,,Molecule ID 19
1,E16,Sample 19,PBS,,Molecule ID 19
1,E17,,,,
1,E18,,,,
1,E19,,,,
1,E20,,,,
1,E21,,,,
1,E22,,,,
1,E23,,,,
1,E24,,,,
1,F1,Control 3,H6N30,Control_3,Control ID 3
1,F2,Control 3,H6N30,Control_3,Control ID 3
1,F3,Sample 3,H6N30,,Molecule ID 3
1,F4,Sample 3,H6N30,,Molecule ID 3
1,F5,Sample 11,H6N30,,Molecule ID 11
